ID	char	pua	romanized	symbol
SD-A8B0	辰	U+1048B0	myaṃ	
SD-A8B1	迂	U+1048B1	myaḥ	
SD-A8B2	迆	U+1048B2	lya	
SD-A8B3	迅	U+1048B3	lyā	
SD-A8B8	邪	U+1048B8	lye	
SD-A8BC	釆	U+1048BC	lyaṃ	
SD-A8BE	防	U+1048BE	vya	
SD-A8BF	阮	U+1048BF	vyā	
SD-A8C2	阬	U+1048C2	vyu	
SD-A8C4	乖	U+1048C4	vye	
SD-A8C5	乳	U+1048C5	vyai	
SD-A8C6	事	U+1048C6	vyo	
SD-A8C8	亞	U+1048C8	vyaṃ	
SD-A8C9	享	U+1048C9	vyaḥ	
SD-A8CA	京	U+1048CA	śya	
SD-A8CC	依	U+1048CC	śyi	
SD-A8D4	侃	U+1048D4	śyaṃ	
SD-A8D6	併	U+1048D6	ṣya	
SD-A8D7	侈	U+1048D7	ṣyā	
SD-A8DC	侏	U+1048DC	ṣye	
SD-A8DE	佺	U+1048DE	ṣyo	
SD-A8E2	兩	U+1048E2	sya	
SD-A8E3	具	U+1048E3	syā	
SD-A8E4	其	U+1048E4	syi	
SD-A8E6	冽	U+1048E6	syu	
SD-A8E8	刻	U+1048E8	sye	
SD-A8EA	刷	U+1048EA	syo	
SD-A8EC	到	U+1048EC	syaṃ	
SD-A8EE	制	U+1048EE	hya	
SD-A8EF	剁	U+1048EF	hyā	
SD-A8F4	卓	U+1048F4	hye	
SD-A8FA	取	U+1048FA	kṣya	
SD-A947	咒	U+104947	kra	
SD-A948	咆	U+104948	krā	
SD-A949	呼	U+104949	kri	
SD-A94A	咐	U+10494A	krī	
SD-A94B	呱	U+10494B	kru	
SD-A94C	呶	U+10494C	krū	
SD-A94D	和	U+10494D	kre	
SD-A94F	呢	U+10494F	kro	
SD-A950	周	U+104950	krau	
SD-A951	咋	U+104951	kraṃ	
SD-A95F	奇	U+10495F	gra	
SD-A960	奈	U+104960	grā	
SD-A961	奄	U+104961	gri	
SD-A962	奔	U+104962	grī	
SD-A965	委	U+104965	gre	
SD-A967	妮	U+104967	gro	
SD-A969	姆	U+104969	graṃ	
SD-A96B	姍	U+10496B	ghra	
SD-A96E	姊	U+10496E	ghrī	
SD-A970	妳	U+104970	ghrū	
SD-A975	季	U+104975	ghraṃ	
SD-A976	宗	U+104976	ghraḥ	
SD-A977	定	U+104977	ṅra	
SD-A978	官	U+104978	ṅrā	
SD-A9BD	忝	U+1049BD	jra	
SD-A9BE	忠	U+1049BE	jrā	
SD-A9BF	忽	U+1049BF	jri	
SD-A9C0	念	U+1049C0	jrī	
SD-A9C3	怔	U+1049C3	jre	
SD-A9C4	怯	U+1049C4	jrai	
SD-A9C5	怵	U+1049C5	jro	
SD-A9C7	怪	U+1049C7	jraṃ	
SD-A9C8	怕	U+1049C8	jraḥ	
SD-A9E1	抨	U+1049E1	ṭra	
SD-A9E5	拙	U+1049E5	ṭru	
SD-A9E9	拚	U+1049E9	ṭro	
SD-A9EB	拘	U+1049EB	ṭraṃ	
SD-AA40	昇	U+104A40	ḍre	
SD-AA44	枋	U+104A44	ḍraṃ	
SD-AA5E	氛	U+104A5E	tra	
SD-AA5F	泣	U+104A5F	trā	
SD-AA60	注	U+104A60	tri	
SD-AA61	泳	U+104A61	trī	
SD-AA62	沱	U+104A62	tru	
SD-AA63	泌	U+104A63	trū	
SD-AA64	泥	U+104A64	tre	
SD-AA65	河	U+104A65	trai	
SD-AA66	沽	U+104A66	tro	
SD-AA67	沾	U+104A67	trau	
SD-AA68	沼	U+104A68	traṃ	
SD-AA69	波	U+104A69	traḥ	
SD-AA76	治	U+104A76	dra	
SD-AA77	泡	U+104A77	drā	
SD-AA78	泛	U+104A78	dri	
SD-AA79	泊	U+104A79	drī	
SD-AA7A	沬	U+104A7A	dru	
SD-AA7B	泯	U+104A7B	drū	
SD-AA7C	泜	U+104A7C	dre	
SD-AA7E	泠	U+104A7E	dro	
SD-AAA2	炎	U+104AA2	draṃ	
SD-AAA3	炒	U+104AA3	draḥ	
SD-AAA4	炊	U+104AA4	dhra	
SD-AAA6	爬	U+104AA6	dhri	
SD-AAAD	狎	U+104AAD	dhrau	
SD-AAB0	狐	U+104AB0	nra	
SD-AABC	盲	U+104ABC	pra	
SD-AABD	直	U+104ABD	prā	
SD-AABF	矽	U+104ABF	prī	
SD-AAC0	社	U+104AC0	pru	
SD-AAC1	祀	U+104AC1	prū	
SD-AAC2	祁	U+104AC2	pre	
SD-AAC4	秈	U+104AC4	pro	
SD-AAC6	穹	U+104AC6	praṃ	
SD-AAD4	肴	U+104AD4	bra	
SD-AAD8	臾	U+104AD8	bru	
SD-AADE	芽	U+104ADE	braṃ	
SD-AAE0	芹	U+104AE0	bhra	
SD-AAE1	花	U+104AE1	bhrā	
SD-AAE2	芬	U+104AE2	bhri	
SD-AAE5	芸	U+104AE5	bhrū	
SD-AAE6	芣	U+104AE6	bhre	
SD-AAE8	芾	U+104AE8	bhro	
SD-AAEC	初	U+104AEC	mra	
SD-AAF2	邵	U+104AF2	mre	
SD-AAF4	邱	U+104AF4	mro	
SD-AB51	侶	U+104B51	vra	
SD-AB52	俘	U+104B52	vrā	
SD-AB53	俟	U+104B53	vri	
SD-AB56	侮	U+104B56	vrū	
SD-AB5B	俎	U+104B5B	vraṃ	
SD-AB5D	侷	U+104B5D	śra	
SD-AB5E	兗	U+104B5E	śrā	
SD-AB5F	冒	U+104B5F	śri	
SD-AB60	冑	U+104B60	śrī	
SD-AB61	冠	U+104B61	śru	
SD-AB62	剎	U+104B62	śrū	
SD-AB63	剃	U+104B63	śre	
SD-AB65	前	U+104B65	śro	
SD-AB67	剋	U+104B67	śraṃ	
SD-AB6A	勉	U+104B6A	ṣrā	
SD-AB6B	勃	U+104B6B	ṣri	
SD-AB75	哎	U+104B75	sra	
SD-AB76	哉	U+104B76	srā	
SD-AB77	咸	U+104B77	sri	
SD-AB79	咳	U+104B79	sru	
SD-AB7A	哇	U+104B7A	srū	
SD-AB7B	哂	U+104B7B	sre	
SD-AB7D	咪	U+104B7D	sro	
SD-ABA3	咯	U+104BA3	hra	
SD-ABA4	咫	U+104BA4	hrā	
SD-ABA5	咱	U+104BA5	hri	
SD-ABA6	咻	U+104BA6	hrī	
SD-ABA9	咿	U+104BA9	hre	
SD-ABAD	垠	U+104BAD	hraṃ	
SD-ABAE	垣	U+104BAE	hraḥ	
SD-ABAF	垢	U+104BAF	kṣra	
SD-ABBB	姣	U+104BBB	kla	
SD-ABBC	姨	U+104BBC	klā	
SD-ABBD	娃	U+104BBD	kli	
SD-ABBE	姥	U+104BBE	klī	
SD-ABC1	姦	U+104BC1	kle	
SD-ABC3	姻	U+104BC3	klo	
SD-ABEC	恢	U+104BEC	ṅlā	
SD-ABFA	拮	U+104BFA	clī	
SD-AC5C	枯	U+104C5C	jhla	
SD-ACD2	皆	U+104CD2	tla	
SD-ACF0	突	U+104CF0	dle	
SD-ADC5	倩	U+104DC5	śla	
SD-ADC6	倖	U+104DC6	ślā	
SD-ADC7	倆	U+104DC7	śli	
SD-ADDF	冥	U+104DDF	sli	
SD-ADE9	剝	U+104DE9	hla	
SD-ADEA	匪	U+104DEA	hlā	
SD-AE42	唇	U+104E42	kva	
SD-AE43	哽	U+104E43	kvā	
SD-AE44	唏	U+104E44	kvi	
SD-AE4A	埃	U+104E4A	kvo	
SD-AE4E	奘	U+104E4E	khva	
SD-AEB8	捂	U+104EB8	jva	
SD-AEB9	捆	U+104EB9	jvā	
SD-AEC2	捍	U+104EC2	jvaṃ	
SD-AEDC	桔	U+104EDC	ṭva	
SD-AEDD	栩	U+104EDD	ṭvā	
SD-AF4D	烘	U+104F4D	ṇva	
SD-AF53	特	U+104F53	ṇve	
SD-AF59	玆	U+104F59	tva	
SD-AF5A	班	U+104F5A	tvā	
SD-AF5B	琉	U+104F5B	tvi	
SD-AF5F	珞	U+104F5F	tve	
SD-AF61	畝	U+104F61	tvo	
SD-AF63	畚	U+104F63	tvaṃ	
SD-AF64	留	U+104F64	tvaḥ	
SD-AF71	益	U+104F71	dva	
SD-AF72	盍	U+104F72	dvā	
SD-AF73	盎	U+104F73	dvi	
SD-AF74	眩	U+104F74	dvī	
SD-AF77	眨	U+104F77	dve	
SD-AF78	矩	U+104F78	dvai	
SD-AF79	砰	U+104F79	dvo	
SD-AF7C	砝	U+104F7C	dvaḥ	
SD-AF7D	破	U+104F7D	dhva	
SD-AF7E	砷	U+104F7E	dhvā	
SD-AFA1	砥	U+104FA1	dhvi	
SD-AFA9	祟	U+104FA9	dhvaṃ	
SD-AFAB	神	U+104FAB	nva	
SD-AFAC	祝	U+104FAC	nvā	
SD-AFAD	祗	U+104FAD	nvi	
SD-AFB1	秧	U+104FB1	nve	
SD-AFB3	秦	U+104FB3	nvo	
SD-AFB5	秘	U+104FB5	nvaṃ	
SD-AFB7	窈	U+104FB7	pva	
SD-AFB8	站	U+104FB8	pvā	
SD-AFE7	舐	U+104FE7	mva	
SD-AFE8	航	U+104FE8	mvā	
SD-AFE9	舫	U+104FE9	mvi	
SD-AFED	茫	U+104FED	mve	
SD-AFF2	荐	U+104FF2	mvaḥ	
SD-AFF3	草	U+104FF3	yva	
SD-B042	蚪	U+105042	lvi	
SD-B04C	袂	U+10504C	śva	
SD-B04D	衽	U+10504D	śvā	
SD-B04E	衹	U+10504E	śvi	
SD-B052	訌	U+105052	śve	
SD-B054	訊	U+105054	śvo	
SD-B058	訏	U+105058	ṣva	
SD-B059	訑	U+105059	ṣvā	
SD-B064	辱	U+105064	sva	
SD-B065	送	U+105065	svā	
SD-B066	逆	U+105066	svi	
SD-B06A	迴	U+10506A	sve	
SD-B06F	邕	U+10506F	svaḥ	
SD-B070	郡	U+105070	hva	
SD-B071	郝	U+105071	hvā	
SD-B07A	釙	U+10507A	hvaṃ	
SD-B0AA	高	U+1050AA	kma	
SD-B0AB	鬥	U+1050AB	kmā	
SD-B0AC	鬲	U+1050AC	kmi	
SD-B0B4	偌	U+1050B4	kmaṃ	
SD-B0DA	啊	U+1050DA	ṅma	
SD-B0DD	問	U+1050DD	ṅmī	
SD-B1C1	掄	U+1051C1	tma	
SD-B1C2	授	U+1051C2	tmā	
SD-B1C7	掏	U+1051C7	tme	
SD-B1CB	捨	U+1051CB	tmaṃ	
SD-B1CD	敝	U+1051CD	thma	
SD-B1D9	斬	U+1051D9	dma	
SD-B1DA	族	U+1051DA	dmā	
SD-B1DB	旋	U+1051DB	dmi	
SD-B1DC	旌	U+1051DC	dmī	
SD-B1DF	晚	U+1051DF	dme	
SD-B1E1	晨	U+1051E1	dmo	
SD-B1E3	晞	U+1051E3	dmaṃ	
SD-B1F1	械	U+1051F1	nma	
SD-B1F3	棄	U+1051F3	nmi	
SD-B1F4	梭	U+1051F4	nmī	
SD-B26E	爽	U+10526E	yma	
SD-B27A	理	U+10527A	lma	
SD-B27C	琍	U+10527C	lmi	
SD-B2A7	異	U+1052A7	lmaḥ	
SD-B2B4	眼	U+1052B4	śma	
SD-B2B6	眸	U+1052B6	śmi	
SD-B2BA	硎	U+1052BA	śme	
SD-B2BB	祥	U+1052BB	śmai	
SD-B2C0	窕	U+1052C0	ṣma	
SD-B2C1	笠	U+1052C1	ṣmā	
SD-B2C2	笨	U+1052C2	ṣmi	
SD-B2CA	粗	U+1052CA	ṣmaṃ	
SD-B2CC	絆	U+1052CC	sma	
SD-B2CD	絃	U+1052CD	smā	
SD-B2CE	統	U+1052CE	smi	
SD-B2CF	紮	U+1052CF	smī	
SD-B2D3	細	U+1052D3	smai	
SD-B2D6	累	U+1052D6	smaṃ	
SD-B2D8	紲	U+1052D8	hma	
SD-B2DA	缽	U+1052DA	hmi	
SD-B2DB	羞	U+1052DB	hmī	
SD-B2DE	翎	U+1052DE	hme	
SD-B2E0	耜	U+1052E0	hmo	
SD-B2E4	脖	U+1052E4	kṣma	
SD-B2E6	脫	U+1052E6	kṣmi	
SD-B2E7	脩	U+1052E7	kṣmī	
SD-B2EA	舂	U+1052EA	kṣme	
SD-B2F1	莘	U+1052F1	knā	
SD-B2F6	莫	U+1052F6	kne	
SD-B349	蛆	U+105349	gna	
SD-B34B	蚱	U+10534B	gni	
SD-B34C	蚯	U+10534C	gnī	
SD-B34F	袞	U+10534F	gne	
SD-B353	袖	U+105353	gnaṃ	
SD-B355	袋	U+105355	ghna	
SD-B356	覓	U+105356	ghnā	
SD-B35D	設	U+10535D	ghno	
SD-B35F	訛	U+10535F	ghnaṃ	
SD-B448	寒	U+105448	tna	
SD-B449	富	U+105449	tnā	
SD-B44A	寓	U+10544A	tni	
SD-B44E	就	U+10544E	tne	
SD-B450	嵐	U+105450	tno	
SD-B452	嵇	U+105452	tnaṃ	
SD-B454	幅	U+105454	thna	
SD-B460	循	U+105460	dna	
SD-B462	惑	U+105462	dni	
SD-B478	掌	U+105478	pna	
SD-B47A	揀	U+10547A	pni	
SD-B4CA	棵	U+1054CA	mna	
SD-B4CB	森	U+1054CB	mnā	
SD-B4E2	氯	U+1054E2	lna	
SD-B4EE	減	U+1054EE	vna	
SD-B4FA	測	U+1054FA	śna	
SD-B4FC	渝	U+1054FC	śni	
SD-B547	湟	U+105547	ṣna	
SD-B548	焙	U+105548	ṣnā	
SD-B553	猶	U+105553	sna	
SD-B554	猥	U+105554	snā	
SD-B55F	琯	U+10555F	hna	
SD-B577	硬	U+105577	rka	
SD-B578	硯	U+105578	rkā	
SD-B579	稍	U+105579	rki	
SD-B57A	稈	U+10557A	rkī	
SD-B57B	程	U+10557B	rku	
SD-B57C	稅	U+10557C	rkū	
SD-B57D	稀	U+10557D	rke	
SD-B57E	窘	U+10557E	rkai	
SD-B5A1	窗	U+1055A1	rko	
SD-B5A2	窖	U+1055A2	rkau	
SD-B5A3	童	U+1055A3	rkaṃ	
SD-B5A4	竣	U+1055A4	rkaḥ	
SD-B5A5	等	U+1055A5	rkha	
SD-B5B1	絞	U+1055B1	rga	
SD-B5B2	結	U+1055B2	rgā	
SD-B5B3	絨	U+1055B3	rgi	
SD-B5B5	紫	U+1055B5	rgu	
SD-B5B7	絲	U+1055B7	rge	
SD-B5B9	給	U+1055B9	rgo	
SD-B5BD	善	U+1055BD	rgha	
SD-B5C5	腋	U+1055C5	rgho	
SD-B5C7	腎	U+1055C7	rghaṃ	
SD-B5D5	菅	U+1055D5	rca	
SD-B5D7	菁	U+1055D7	rci	
SD-B5ED	蛭	U+1055ED	rja	
SD-B5EF	蛛	U+1055EF	rji	
SD-B65E	跌	U+10565E	rṭha	
SD-B6A4	隊	U+1056A4	rṇa	
SD-B6A5	階	U+1056A5	rṇā	
SD-B6A6	隋	U+1056A6	rṇi	
SD-B6A7	陽	U+1056A7	rṇī	
SD-B6A8	隅	U+1056A8	rṇu	
SD-B6A9	隆	U+1056A9	rṇū	
SD-B6AE	雅	U+1056AE	rṇaṃ	
SD-B6AF	雄	U+1056AF	rṇaḥ	
SD-B6B0	集	U+1056B0	rta	
SD-B6B2	雯	U+1056B2	rti	
SD-B6BC	飲	U+1056BC	rtha	
SD-B6BD	飭	U+1056BD	rthā	
SD-B6BE	馮	U+1056BE	rthi	
SD-B6BF	馭	U+1056BF	rthī	
SD-B6C2	黑	U+1056C2	rthe	
SD-B6C4	傭	U+1056C4	rtho	
SD-B6C6	傲	U+1056C6	rthaṃ	
SD-B6C8	僅	U+1056C8	rda	
SD-B6CA	催	U+1056CA	rdi	
SD-B6CE	僇	U+1056CE	rde	
SD-B6D2	募	U+1056D2	rdaṃ	
SD-B6D4	勤	U+1056D4	rdha	
SD-B6D5	勢	U+1056D5	rdhā	
SD-B6D6	勣	U+1056D6	rdhi	
SD-B6DC	嗎	U+1056DC	rdho	
SD-B6E0	嗣	U+1056E0	rna	
SD-B6E1	嗤	U+1056E1	rnā	
SD-B6E2	嗯	U+1056E2	rni	
SD-B6E6	嗆	U+1056E6	rne	
SD-B6EC	塑	U+1056EC	rpa	
SD-B6ED	塘	U+1056ED	rpā	
SD-B6EE	塗	U+1056EE	rpi	
SD-B6F2	塌	U+1056F2	rpe	
SD-B6F6	塒	U+1056F6	rpaṃ	
SD-B6FC	媾	U+1056FC	rphu	
SD-B747	廉	U+105747	rbi	
SD-B751	想	U+105751	rbha	
SD-B752	愛	U+105752	rbhā	
SD-B753	惹	U+105753	rbhi	
SD-B755	愈	U+105755	rbhu	
SD-B756	慎	U+105756	rbhū	
SD-B757	慌	U+105757	rbhe	
SD-B759	慍	U+105759	rbho	
SD-B75D	愍	U+10575D	rma	
SD-B75E	愆	U+10575E	rmā	
SD-B75F	愷	U+10575F	rmi	
SD-B763	搾	U+105763	rme	
SD-B765	搪	U+105765	rmo	
SD-B767	搽	U+105767	rmaṃ	
SD-B769	搏	U+105769	rya	
SD-B76A	搜	U+10576A	ryā	
SD-B76D	搶	U+10576D	ryu	
SD-B76F	搗	U+10576F	rye	
SD-B770	搆	U+105770	ryai	
SD-B771	敬	U+105771	ryo	
SD-B773	新	U+105773	ryaṃ	
SD-B774	暗	U+105774	ryaḥ	
SD-B775	暉	U+105775	rla	
SD-B77B	暍	U+10577B	rle	
SD-B7A1	楚	U+1057A1	rlaṃ	
SD-B7A3	楠	U+1057A3	rva	
SD-B7A4	楔	U+1057A4	rvā	
SD-B7A5	極	U+1057A5	rvi	
SD-B7A9	楨	U+1057A9	rve	
SD-B7AA	楫	U+1057AA	rvai	
SD-B7AB	楞	U+1057AB	rvo	
SD-B7AD	楹	U+1057AD	rvaṃ	
SD-B7AF	楝	U+1057AF	rśa	
SD-B7B1	楛	U+1057B1	rśi	
SD-B7BB	溶	U+1057BB	rṣa	
SD-B7BC	滂	U+1057BC	rṣā	
SD-B7BD	源	U+1057BD	rṣi	
SD-B7BE	溝	U+1057BE	rṣī	
SD-B7C1	溥	U+1057C1	rṣe	
SD-B7C2	溘	U+1057C2	rṣai	
SD-B7C5	溫	U+1057C5	rṣaṃ	
SD-B7C7	準	U+1057C7	rsa	
SD-B7C9	滄	U+1057C9	rsi	
SD-B7CD	溴	U+1057CD	rse	
SD-B7D3	照	U+1057D3	rha	
SD-B7D4	煜	U+1057D4	rhā	
SD-B7D9	煞	U+1057D9	rhe	
SD-B7DB	煨	U+1057DB	rho	
SD-B7EB	瑛	U+1057EB	rkya	
SD-B7EC	瑜	U+1057EC	rkyā	
SD-B844	睥	U+105844	rgya	
SD-B8A2	腺	U+1058A2	rjya	
SD-B947	逼	U+105947	rtyu	
SD-B9E9	寥	U+1059E9	rvya	
SD-BA72	氳	U+105A72	rkra	
SD-BA73	漳	U+105A73	rkrā	
SD-BCE6	潭	U+105CE6	rkla	
SD-BCE7	潛	U+105CE7	rklā	
SD-BF6D	禦	U+105F6D	rkva	
SD-BF6E	積	U+105F6E	rkvā	
SD-BFE3	踴	U+105FE3	rjva	
SD-C0A6	嬰	U+1060A6	rtva	
SD-C0A7	嬪	U+1060A7	rtvā	
SD-C0BF	擦	U+1060BF	rdvā	
SD-C0C0	擬	U+1060C0	rdvi	
SD-C0CA	檄	U+1060CA	rdhva	
SD-C0D6	氈	U+1060D6	rnva	
SD-C0D8	濱	U+1060D8	rnvi	
SD-C0FA	盪	U+1060FA	rbva	
SD-C0FC	瞪	U+1060FC	rbvi	
SD-C153	糜	U+106153	rmva	
SD-C177	膿	U+106177	rśva	
SD-C1A5	薔	U+1061A5	rṣva	
SD-C1D5	轅	U+1061D5	rkma	
SD-C1D6	輿	U+1061D6	rkmā	
SD-C347	颺	U+106347	rdmi	
SD-C34B	餮	U+10634B	rdme	
SD-C45C	孀	U+10645C	rkna	
SD-C45D	孃	U+10645D	rknā	
SD-C573	彎	U+106573	rtna	
SD-C5B9	饕	U+1065B9	rdhna	
SD-C5BA	驕	U+1065BA	rdhnā	
SD-C5BF	鰱	U+1065BF	rdhne	
SD-C5C3	鷗	U+1065C3	rdhnaṃ	
SD-C963	丱	U+106963	ṅka	
SD-C964	丼	U+106964	ṅkā	
SD-C965	仨	U+106965	ṅki	
SD-C966	仜	U+106966	ṅkī	
SD-C967	仩	U+106967	ṅku	
SD-C968	仡	U+106968	ṅkū	
SD-C969	仝	U+106969	ṅke	
SD-C96A	仚	U+10696A	ṅkai	
SD-C96B	刌	U+10696B	ṅko	
SD-C96C	匜	U+10696C	ṅkau	
SD-C96D	卌	U+10696D	ṅkaṃ	
SD-C96E	圢	U+10696E	ṅkaḥ	
SD-C96F	圣	U+10696F	ṅkha	
SD-C970	夗	U+106970	ṅkhā	
SD-C971	夯	U+106971	ṅkhi	
SD-C979	庀	U+106979	ṅkhaṃ	
SD-C97B	忉	U+10697B	ṅga	
SD-C97C	戉	U+10697C	ṅgā	
SD-C97D	扐	U+10697D	ṅgi	
SD-C97E	氕	U+10697E	ṅgī	
SD-C9A1	氶	U+1069A1	ṅgu	
SD-C9A3	氿	U+1069A3	ṅge	
SD-C9A9	肊	U+1069A9	ṅgha	
SD-C9AA	阞	U+1069AA	ṅghā	
SD-C9AB	伎	U+1069AB	ṅghi	
SD-C9AF	伔	U+1069AF	ṅghe	
SD-C9B5	伂	U+1069B5	ñca	
SD-C9B6	伅	U+1069B6	ñcā	
SD-C9B7	伢	U+1069B7	ñci	
SD-C9BD	刓	U+1069BD	ñco	
SD-C9C1	匢	U+1069C1	ñcha	
SD-C9C2	匟	U+1069C2	ñchā	
SD-C9CD	奼	U+1069CD	ñja	
SD-C9CE	妅	U+1069CE	ñjā	
SD-C9CF	奻	U+1069CF	ñji	
SD-C9D1	奷	U+1069D1	ñju	
SD-C9E5	扤	U+1069E5	ṇṭa	
SD-C9E6	扡	U+1069E6	ṇṭā	
SD-C9E8	扢	U+1069E8	ṇṭī	
SD-C9F0	朹	U+1069F0	ṇṭaḥ	
SD-C9F1	朸	U+1069F1	ṇṭha	
SD-C9F2	朻	U+1069F2	ṇṭhā	
SD-C9F7	氘	U+1069F7	ṇṭhe	
SD-C9FB	汏	U+1069FB	ṇṭhaṃ	
SD-C9FD	汔	U+1069FD	ṇḍa	
SD-C9FE	汋	U+1069FE	ṇḍā	
SD-CA40	汌	U+106A40	ṇḍi	
SD-CA41	灱	U+106A41	ṇḍī	
SD-CA42	牞	U+106A42	ṇḍu	
SD-CA44	犵	U+106A44	ṇḍe	
SD-CA45	玎	U+106A45	ṇḍai	
SD-CA46	甪	U+106A46	ṇḍo	
SD-CA48	穵	U+106A48	ṇḍaṃ	
SD-CA49	网	U+106A49	ṇḍaḥ	
SD-CA4A	艸	U+106A4A	ṇḍha	
SD-CA4B	艼	U+106A4B	ṇḍhā	
SD-CA56	阢	U+106A56	nta	
SD-CA57	阤	U+106A57	ntā	
SD-CA58	阠	U+106A58	nti	
SD-CA5A	佖	U+106A5A	ntu	
SD-CA5C	佢	U+106A5C	nte	
SD-CA5E	体	U+106A5E	nto	
SD-CA60	伾	U+106A60	ntaṃ	
SD-CA62	佒	U+106A62	ntha	
SD-CA63	佟	U+106A63	nthā	
SD-CA64	佁	U+106A64	nthi	
SD-CA6E	刡	U+106A6E	nda	
SD-CA6F	劭	U+106A6F	ndā	
SD-CA70	劮	U+106A70	ndi	
SD-CA71	匉	U+106A71	ndī	
SD-CA72	卣	U+106A72	ndu	
SD-CA74	厎	U+106A74	nde	
SD-CA76	吰	U+106A76	ndo	
SD-CA7A	呅	U+106A7A	ndha	
SD-CA7B	吙	U+106A7B	ndhā	
SD-CA7C	吜	U+106A7C	ndhi	
SD-CA7E	吘	U+106A7E	ndhu	
SD-CAA2	呏	U+106AA2	ndhe	
SD-CAA4	吨	U+106AA4	ndho	
SD-CAA6	呇	U+106AA6	ndhaṃ	
SD-CAA7	囮	U+106AA7	ndhaḥ	
SD-CAA8	囧	U+106AA8	mpa	
SD-CAA9	囥	U+106AA9	mpā	
SD-CAB4	妠	U+106AB4	mpha	
SD-CAB5	妗	U+106AB5	mphā	
SD-CABA	妧	U+106ABA	mphe	
SD-CAC0	岍	U+106AC0	mba	
SD-CAC1	岏	U+106AC1	mbā	
SD-CAC3	岋	U+106AC3	mbī	
SD-CAC4	岉	U+106AC4	mbu	
SD-CAC6	岊	U+106AC6	mbe	
SD-CACC	帎	U+106ACC	mbha	
